Activity,Mood,Playlist,Feedback,Playlist: ,Comments
walking,happy,1. Feel Good Upbeat Mix - https://open.spotify.com/playlist/37i9dQZF1EIdbkiqGVYG4L,python main.py,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,no,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,yes,,
walk,sad,1. Walking Mix - https://open.spotify.com/playlist/37i9dQZF1EIhyYQ2buKkVp,yes,,
walk,neutral,1. Walking Upbeat Mix - https://open.spotify.com/playlist/37i9dQZF1EIdfb5RzWlGD3,no,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,yes,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,yes,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,yes,,
run,happy,1. please don’t stop the music - https://open.spotify.com/playlist/6a01TXTzGqYepx5r7aLpne,yes,,
run,sad,1. songs that give me the best runners high😇🧚‍♀️💗 - https://open.spotify.com/playlist/7hZRKBFSJO8rO2DKjxKq7R,yes,,
,neutral,1. Neutral Mix - https://open.spotify.com/playlist/37i9dQZF1EIcJuX6lvhrpW,yes,,
run,happy,1. Fun Happy Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIhJIkP5P7nw3,yes,,
run,happy,1. Fun Happy Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIhJIkP5P7nw3,yes,,
lying down,happy,,yes,1. Feel Good Happy Mix - https://open.spotify.com/playlist/37i9dQZF1EIgG2NEOhqsD7,
running,happy,,no,1. Fun Happy Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIhJIkP5P7nw3,
boxing,tired,,yes,1. Boxing Music🥊🔥 - https://open.spotify.com/playlist/3lecnez8pc9DAnnlXU93iO,
walking,happy,,yes,1. Happy Walking Mix - https://open.spotify.com/playlist/37i9dQZF1EIg50fSlCioBM,
i am running,sad,,yes,1. Sad angry running music cause I just got dumped and am convinced no one loves me - https://open.spotify.com/playlist/7IxqvHArQGFBkqYC8bpPkh,
i am running,happy,,yes,1. Feel Good Upbeat Mix - https://open.spotify.com/playlist/37i9dQZF1EIdbkiqGVYG4L,
studying,angry,1. Angry & intense  classical music for studying  - https://open.spotify.com/playlist/17QVCLkzThDGxAPQLVEJIN,yes,,The playlist was great
mowing my lawn,happy,1. Mowing the Lawn - https://open.spotify.com/playlist/1MianX24vdD0wg0wxJ5KAe,yes,,
run,happy,1. Fun Happy Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIhJIkP5P7nw3,yes,,
biking,angry,"1. VIKING WORKOUT  ( with Epic Viking Music ) - https://open.spotify.com/playlist/4SsYXBK6iGd9lXWwbQjTlE
2. Biking Radio - https://open.spotify.com/playlist/37i9dQZF1E8VoxfXAzP83e
3. Upbeat biking mix - https://open.spotify.com/playlist/6LJyASOZqbATqYn6vqyUcl
4. OUTDOOR BIKING MUSIC - https://open.spotify.com/playlist/4srpXzwtwPnJQS8WpU1AOX
5. VIKING WAR MUSIC - https://open.spotify.com/playlist/7aKvIRWeOFuQubMPB3T96e",yes,,
walk,angry,"1. angry hot girl music - https://open.spotify.com/playlist/00r6H5Pa6tSbHe0B8n4yT5
2. Angry Workout Mix - https://open.spotify.com/playlist/37i9dQZF1EIcpc1Z28flXB
3. Stoner Metal High Walkathon and Calm Down Music for Angry Boys - https://open.spotify.com/playlist/0jrrAGMlxk5czOO2JU31zo
4. Angry Mix - https://open.spotify.com/playlist/37i9dQZF1EIgNZCaOGb0Mi
5. stray kids angry walks - https://open.spotify.com/playlist/1Z8lG7ZYo80gSDKFCubxrE",yes,,it matched
walk,sad,"1. Sad music to fall asleep and go for a lonely walk to - https://open.spotify.com/playlist/0nrUIwL19mVoEVQceqv0pi
2. Walking Mix - https://open.spotify.com/playlist/37i9dQZF1EIhyYQ2buKkVp
3. sad girl walk - https://open.spotify.com/playlist/6zv1kMZKqlt5Ox8t1dFOy6
4. fall walks🎧🍂 - https://open.spotify.com/playlist/5zoQBNAfJYzEeDKgVRxXN8
5. Sad Christian “In The Feels” Music - https://open.spotify.com/playlist/4sU7pywwxPikggrq0eeij2",no,,i am angry
at gym,sad,"1. Underrated Future Songs - https://open.spotify.com/playlist/6Xz8rhD9eyOAO0lFDKl3fj
2. Sad Gymbro - https://open.spotify.com/playlist/5m3ObBgpKndAhahdxr2GF9
3. Gym playlist 4.0 - https://open.spotify.com/playlist/0lxvEttDAEcyXeRrb5FtK8
4. Sad Gym Core/ TikTok Audios - https://open.spotify.com/playlist/7pPlWMNyDxnAELIZJhz1Tv
5. Gym Time - https://open.spotify.com/playlist/7ysYdNvOPZhcGjlUc7UBEC",no,,im angry
gaming,angry,"1. Angry Gaming Mix - https://open.spotify.com/playlist/37i9dQZF1EIhu8wVh1FvM4
2. Rage Mix - https://open.spotify.com/playlist/37i9dQZF1EIhuCNl2WSFYd
3. 👹🖤 - https://open.spotify.com/playlist/1oAAo6y2ubi0ppdygVKAfm
4. Angry Mix - https://open.spotify.com/playlist/37i9dQZF1EIgNZCaOGb0Mi
5. Gaming - https://open.spotify.com/playlist/3zKPXJgDh0PAJ00xbDpesF",yes,,it matched perfectly
running,angry,"1. Angry Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIdjHvNyr7jpO
2. Angry Workout Mix - https://open.spotify.com/playlist/37i9dQZF1EIcpc1Z28flXB
3. Angry Running Music - https://open.spotify.com/playlist/6ax84ovki69cW938DivI38
4. Angry Runing Playlist  - https://open.spotify.com/playlist/5QAcbxkIT8YomRwSUDnTBR
5. Hype Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIcBnLtsmoJ8l",yes,,it was a good choice.
walking,happy,"1. Happy Walking Mix - https://open.spotify.com/playlist/37i9dQZF1EIg50fSlCioBM
2. Walking Upbeat Mix - https://open.spotify.com/playlist/37i9dQZF1EIdfb5RzWlGD3
3. Happy Music For Walking  - https://open.spotify.com/playlist/3Y5bB0bAlzbdzqd180u9Yy
4. Happy Walking Music - https://open.spotify.com/playlist/3N9zZFZ1McQXSndQgpCgLg
5. HAPPY GIRL MORNING POWER WALK  - https://open.spotify.com/playlist/6fzbDsNZqOyP1DANvPSym6",yes,,
run,angry,"1. Angry Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIdjHvNyr7jpO
2. Angry Workout Mix - https://open.spotify.com/playlist/37i9dQZF1EIcpc1Z28flXB
3. angry 70s girl music - https://open.spotify.com/playlist/2q5IkCh5i9HTkrMvElC97I
4. Angry Running Music - https://open.spotify.com/playlist/6ax84ovki69cW938DivI38
5. Hype Running Mix - https://open.spotify.com/playlist/37i9dQZF1EIcBnLtsmoJ8l",yes,,good choice
crying,angry,"1. Angry Crying Mix - https://open.spotify.com/playlist/37i9dQZF1EIhELbZbuArGx
2. Angry Mix - https://open.spotify.com/playlist/37i9dQZF1EIgNZCaOGb0Mi
3. angry teen girl music - https://open.spotify.com/playlist/3SrdwMqZSnp8W0pDhLqena
4. PISSED OFF MUSIC - https://open.spotify.com/playlist/5IwFDvJvKVub47mVa4DPY0
5. girl music :3 - https://open.spotify.com/playlist/3TS97jDNBy8Ew2wGOsTti1",no,,I am sad not angry
